PR,T_hot_C,hot_fluid,eta_br_%,W_br_kW,T_exh_br_C,T_bot_in_C,Q_avail_kW,eta_st_%,W_st_kW,eta_comb_%,W_comb_kW,gain_pp
4.4373,900,Air,19.448881556291845,132.40340055000752,538.2408174845166,533.1261650060807,506.4871176657361,45.796102240727585,231.9513582423147,53.5204724258327,364.35475879232223,34.071590869540856
4.4373,950,Air,19.980061149164666,146.5767546000592,573.2228293856393,567.7884950648676,545.1524838220802,46.491965059738135,253.4521023008561,54.52843490851518,400.0288569009153,34.54837375935051
4.4373,1000,Air,20.432404829932562,160.7568760515755,608.2410863830846,602.4892061838683,584.1313507113404,47.15536051607561,275.4492443153546,55.4423565544527,436.20612036693007,35.009951724520135
4.8853,600,Air,12.557802323859516,44.83816442524335,318.62768357417997,316.5484095086249,270.3301591108249,34.67201031871743,93.72890066151048,38.808408735331184,138.56706508675381,26.250606411471665
4.8853,650,Air,14.636516449240961,59.64036042227053,352.4476738194835,350.1381618534491,305.9502019224578,36.02369545166168,110.21456897429015,41.684598323941124,169.8549293965607,27.048081874700163
4.8853,700,Air,16.24909427022139,74.48005609057793,386.41691354433624,383.87614762528744,341.9983918485997,40.1874712609186,137.44050543695977,46.23408416706112,211.9205615275377,29.984989896839725
4.8853,750,Air,17.530234085885883,89.35027636526331,420.51054212090844,416.49023914199495,378.4562484391589,43.06043094407892,162.96489151269577,49.5034166233402,252.31516787795908,31.97318253745432
4.8853,800,Air,18.56758366036513,104.24491378309455,454.7063117495454,450.3651713160684,415.3041819661368,43.93001234061708,182.44317838882273,51.06345185251422,286.6880921719173,32.49586819214909
4.8853,850,Air,19.42066097608196,119.15873506937209,488.98477741618126,484.32448092970367,452.52219414391647,44.74113368625734,202.46355984191467,52.41846137578728,321.62229491128676,32.997800399705326
4.8853,900,Air,20.131310022130183,134.08733628744557,523.329251648848,518.3516238247695,490.09039685955423,45.48766823031279,222.9306937520973,53.60118893561133,357.01803003954285,33.469878913481146
4.8853,950,Air,20.729806695044676,149.02706957049782,557.7256380943601,552.4326186810256,527.9893837828977,46.18858670387815,243.87083431583568,54.652471003592105,392.8979038863335,33.92266430854743
4.8853,1000,Air,21.238591562602547,163.97495640360535,592.1621991513529,586.5558177658313,566.2004852905666,46.85403869697339,265.28779448049323,55.599564952018,429.2627508840986,34.36097338941545
5.0,600,Air,12.45977604041162,44.038356504715466,315.94876134367223,313.88772469999196,267.5199428443211,34.53182662876484,92.37952286037176,38.59672248701822,136.41787936508723,26.1369464466066
5.0,650,Air,14.613404638501907,59.018637789934075,349.62009309581595,347.32983058090576,302.96190036776255,35.940855623077624,108.88709920410982,41.57456979188917,167.90573699404388,26.961165153387267
5.0,700,Air,16.28076361487894,74.03747757351346,383.4424934776895,380.9219766547026,338.8309461786322,39.901704448759176,135.1993227251321,46.010952788247764,209.23680029864556,29.73018917336882
5.0,750,Air,17.60340828258551,89.08775241093099,417.3909879302405,413.4000766151604,375.1087482064598,42.97775741996728,161.21332786524815,49.45856181610393,250.30108027617914,31.855153533518422
5.0,800,Air,18.673100104141565,104.16321660159394,451.44318908354194,447.13255836917426,411.7758549606055,43.84896600677457,180.55945466578123,51.04157797689333,284.7226712673752,32.36847787275177
5.0,850,Air,19.551959953128613,119.25851156511067,485.5794948979744,480.95079466246807,448.8123934611459,44.664594798095294,200.46023694305399,52.416620709567994,319.71874850816465,32.86466075643938
5.0,900,Air,20.283551791020578,134.36912222907847,519.7830638653803,514.8380893936205,486.19858673088964,45.41298753361507,220.7973035807116,53.61378025572559,355.1664258097901,33.33022846470501
5.0,950,Air,20.899329739656437,149.4913038805605,554.0396474735695,548.7803111013891,523.9151252858034,46.115093422688034,241.60394948114126,54.67628181336347,391.0952533617018,33.77695207370704
5.0,1000,Air,21.42256637126018,164.62199496459488,588.3373640008468,582.7656698198109,561.9434225425454,46.781992121632705,262.88832766188676,55.63271337365545,427.51032262648164,34.21014700239527
