PR,T_hot_C,hot_fluid,orc_size_MW,bc_type,orc_fluid,eta_br_%,W_br_kW,T_exh_br_C,T_bot_in_C,Q_avail_kW,eta_bot_%,W_bot_kW,eta_comb_%,W_comb_kW,gain_pp
3.0,850,Air,5.0,ORC_R245fa,Toluène,35.06908305802551,114.41350688227354,222.0077587989432,220.58624863170297,209.0294855632351,23.672895017548967,30.91669780284734,44.545413892317164,145.3302046851209,9.476330834291652
3.0,900,Air,1.0,ORC_R245fa,Toluène,36.574255714606295,126.02180766081327,228.51988526856456,227.05404219894484,215.73416617938085,20.443995524725143,27.87069423382696,44.662934307403205,153.89250189464022,8.08867859279691
3.0,900,Air,2.0,ORC_R245fa,Toluène,36.574255714606295,126.02180766081327,228.51988526856456,227.05404219894484,215.73416617938085,22.34643371711989,30.153819210485167,45.325546582807576,156.17562687129845,8.751290868201277
3.0,900,Air,5.0,ORC_R245fa,Toluène,36.574255714606295,126.02180766081327,228.51988526856456,227.05404219894484,215.73416617938085,24.15826533079624,32.518023763841875,46.01168990594443,158.53983142465515,9.437434191338134
3.0,950,Air,1.0,ORC_R245fa,Toluène,37.92240176648906,137.63399716873172,235.07772625773657,233.5672390729037,222.49411770438996,20.843818768431312,29.291738468496668,45.993177138067196,166.9257356372284,8.070775371578131
3.0,950,Air,2.0,ORC_R245fa,Toluène,37.92240176648906,137.63399716873172,235.07772625773657,233.5672390729037,222.49411770438996,22.78122297113615,31.67986565718082,46.6511796707389,169.31386282591254,8.728777904249835
3.0,950,Air,5.0,ORC_R245fa,Toluène,37.92240176648906,137.63399716873172,235.07772625773657,233.5672390729037,222.49411770438996,24.629263397564642,34.151096760706814,47.33207988938813,171.78509392943855,9.409678122899074
3.0,1000,Air,1.0,ORC_R245fa,Toluène,39.13573736228611,149.24887190526286,241.67773112133068,240.1223127803404,229.30600574307678,21.22977710722793,30.73769522146987,47.19571364185906,179.98656712673272,8.059976279572956
3.0,1000,Air,2.0,ORC_R245fa,Toluène,39.13573736228611,149.24887190526286,241.67773112133068,240.1223127803404,229.30600574307678,23.201590433956586,33.23409838746742,47.850315431525345,182.48297029273027,8.714578069239243
3.0,1000,Air,5.0,ORC_R245fa,Toluène,39.13573736228611,149.24887190526286,241.67773112133068,240.1223127803404,229.30600574307678,25.085350519001555,35.81549740324119,48.5272046610313,185.06436930850404,9.391467298745193
3.7567,600,Air,1.0,ORC_R245fa,Toluène,21.229623361578877,54.856791968344425,213.93474138523868,212.56819026932823,200.72880109844078,19.495391105549757,24.768200833985784,30.81493734335329,79.62499280233021,9.58531398177441
3.7567,600,Air,2.0,ORC_R245fa,Toluène,21.229623361578877,54.856791968344425,213.93474138523868,212.56819026932823,200.72880109844078,21.317542828809692,26.826042444333748,31.611323729758865,81.68283441267818,10.381700368179988
3.7567,600,Air,5.0,ORC_R245fa,Toluène,21.229623361578877,54.856791968344425,213.93474138523868,212.56819026932823,200.72880109844078,23.046531122440957,28.95989118999594,32.43712493970069,83.81668315834037,11.207501578121812
3.7567,650,Air,1.0,ORC_R245fa,Toluène,24.60752134662383,68.40805692129368,219.81834425148753,218.41173906219177,206.77712986982522,19.88802545442266,26.009877363784454,33.963708925358674,94.41793428507813,9.35618757873484
3.7567,650,Air,2.0,ORC_R245fa,Toluène,24.60752134662383,68.40805692129368,219.81834425148753,218.41173906219177,206.77712986982522,21.742962944926614,28.15730974694123,34.736176242618676,96.5653666682349,10.128654895994845
3.7567,650,Air,5.0,ORC_R245fa,Toluène,24.60752134662383,68.40805692129368,219.81834425148753,218.41173906219177,206.77712986982522,23.505734719308204,30.382894811120757,35.53675638537198,98.79095173241444,10.92923503874815
3.7567,700,Air,1.0,ORC_R245fa,Toluène,27.53974949722674,81.98360648165055,225.76554588606894,224.31845365913227,212.89740317387518,20.271171157303478,27.278587581150965,36.70311155048309,109.26219406280151,9.163362053256346
3.7567,700,Air,2.0,ORC_R245fa,Toluène,27.53974949722674,81.98360648165055,225.76554588606894,224.31845365913227,212.89740317387518,22.15870578395796,29.51832955511594,37.455480658753835,111.5019360367665,9.915731161527097
3.7567,700,Air,5.0,ORC_R245fa,Toluène,27.53974949722674,81.98360648165055,225.76554588606894,224.31845365913227,212.89740317387518,23.95512932530137,31.838255291154915,38.234784916818924,113.82186177280548,10.695035419592186
3.7567,750,Air,1.0,ORC_R245fa,Toluène,30.105793517776092,95.57842713167582,231.77283116026905,230.28484286153952,219.0863278979169,20.644368110592616,28.57361505228742,39.10606042565758,124.15204218396325,9.000266907881487
3.7567,750,Air,2.0,ORC_R245fa,Toluène,30.105793517776092,95.57842713167582,231.77283116026905,230.28484286153952,219.0863278979169,22.564243966785188,30.908516594214404,39.841519941106064,126.48694372589023,9.735726423329972
3.7567,750,Air,5.0,ORC_R245fa,Toluène,30.105793517776092,95.57842713167582,231.77283116026905,230.28484286153952,219.0863278979169,24.394122361817136,33.32552055927843,40.60284050776089,128.90394769095425,10.497046989984792
3.7567,800,Air,1.0,ORC_R245fa,Toluène,32.36755306586622,109.1882788824795,237.83651686828517,236.30724853793942,225.34043183306233,21.00714590974151,29.894237463091084,41.22934049720441,139.08251634557058,8.861787431338197
3.7567,800,Air,2.0,ORC_R245fa,Toluène,32.36755306586622,109.1882788824795,237.83651686828517,236.30724853793942,225.34043183306233,22.959031963436267,32.327294296391116,41.95059095531328,141.51557317887062,9.583037889447066
3.7567,800,Air,5.0,ORC_R245fa,Toluène,32.36755306586622,109.1882788824795,237.83651686828517,236.30724853793942,225.34043183306233,24.82209472710638,34.844262967290305,42.69671606923817,144.0325418497698,10.329163003371955
3.7567,850,Air,1.0,ORC_R245fa,Toluène,34.37395012611498,122.80965107007574,243.95287997872572,242.38197300239278,231.65619435021327,21.359026416050547,31.23976538569251,43.117840593702034,154.04941645576827,8.743890467587057
3.7567,850,Air,2.0,ORC_R245fa,Toluène,34.37395012611498,122.80965107007574,243.95287997872572,242.38197300239278,231.65619435021327,23.342507894496105,33.77413780305259,43.827201709186575,156.58378887312833,9.453251583071598
3.7567,850,Air,5.0,ORC_R245fa,Toluène,34.37395012611498,122.80965107007574,243.95287997872572,242.38197300239278,231.65619435021327,25.238401831332897,36.39412653899734,44.560526503741684,159.2037776090731,10.18657637762671
3.7567,900,Air,1.0,ORC_R245fa,Toluène,36.16414918992051,136.43968638878755,250.11825304826266,248.50537377859348,238.03013476110274,21.699521342566044,32.609574878134595,44.80751067898398,169.04926126692214,8.643361489063473
3.7567,900,Air,2.0,ORC_R245fa,Toluène,36.16414918992051,136.43968638878755,250.11825304826266,248.50537377859348,238.03013476110274,23.714089710433907,35.24861085750774,45.507002838498806,171.6882972462953,9.342853648578298
3.7567,900,Air,5.0,ORC_R245fa,Toluène,36.16414918992051,136.43968638878755,250.11825304826266,248.50537377859348,238.03013476110274,25.642368368271956,37.97486814850725,46.22961352466582,174.4145545372948,10.065464334745316
