PR,T_hot_C,hot_fluid,bc_type,orc_fluid,eta_br_%,W_br_kW,T_exh_br_C,T_bot_in_C,Q_avail_kW,eta_bot_%,W_bot_kW,eta_comb_%,W_comb_kW,gain_pp
3.7567,700,Air,ORC_R245fa,R1233zd,34.521113410020085,123.33592862163596,169.32772283406433,168.79007755508513,58.47659637157671,18.521604523582564,10.83080391879507,37.55260159501945,134.16673254043104,3.03148818499937
3.7567,750,Air,ORC_R245fa,R1233zd,36.4094789579253,138.12889690239223,176.48744203082458,175.92843565060826,65.78306266293738,18.67568107389563,12.285434983571099,39.64780414949892,150.41433188596332,3.2383251915736153
3.7567,800,Air,ORC_R245fa,Cyclopentane,38.0843867038649,152.92782147118453,183.706112544389,183.12617800399283,73.15788756241982,23.79352904839502,17.406843228356525,42.41930066801364,170.33466469954107,4.334913964148734
3.7567,850,Air,ORC_R245fa,Cyclopentane,39.57859768437969,167.73101330839035,190.9793157888634,190.37898014658953,80.59702715684433,24.36688486084388,19.63898480857133,44.21270477845045,187.36999811696168,4.6341070940707665
3.7567,900,Air,ORC_R245fa,Cyclopentane,40.91863623725635,182.53715629694318,198.30276927111254,197.68266368757992,88.09656034583698,24.909210349819592,21.944157527500284,45.837771703244066,204.48131382444348,4.919135465987711
3.7567,950,Air,ORC_R245fa,Cyclopentane,42.12619323130943,197.34524311814607,205.67239440991744,204.36209125288678,95.65274437306617,25.372888998182624,24.269864653493457,47.30694647337621,221.61510777163954,5.180753242066782
3.7567,1000,Air,ORC_R245fa,Cyclopentane,43.21916702527261,212.15451895618673,213.08432820364175,211.72356648459538,103.26204796661081,25.845618064807617,26.688714523348672,48.65607224110086,238.8432334795354,5.4369052158282525
4.4373,600,Air,ORC_R245fa,R1233zd,29.523761969106637,99.72892543396827,162.93658654503758,162.41847003828934,51.961091818325045,18.274900719671457,9.495837942656232,32.33491086995205,109.22476337662451,2.811148900845412
4.4373,650,Air,ORC_R245fa,R1233zd,32.16232972788211,116.19410232891315,169.81909128662284,169.27996201036746,58.977782646297534,18.53660935579924,10.932481175856529,35.18842190703971,127.12658350476967,3.0260921791575965
4.4373,700,Air,ORC_R245fa,R1233zd,34.474349034487474,132.6730200506747,176.76905852489006,176.20922382895327,66.07061501684069,18.67868155283946,12.341119778998198,37.68112061905756,145.0141398296729,3.2067715845700837
4.4373,750,Air,ORC_R245fa,Cyclopentane,36.514659194654065,149.16237273515927,183.78219110736973,183.2020394857106,73.23565666604513,23.79970144641969,17.4298676388437,40.781456946459265,166.59224037400296,4.266797751805202
4.4373,800,Air,ORC_R245fa,Cyclopentane,38.3266718994296,165.65947273375318,190.85409773212928,190.254107092526,80.46887767908915,24.357302787855136,19.600048186284518,42.86130311400594,185.2595209200377,4.534631214576345
4.4373,850,Air,ORC_R245fa,Cyclopentane,39.94518944403208,182.16217712286337,197.98042836848066,197.36117548297244,87.76627590786788,24.88610020340591,21.8416033672297,44.73469623432996,204.00378049009308,4.789506790297882
4.4373,900,Air,ORC_R245fa,Cyclopentane,41.39842468665723,198.66880736258778,205.15697257362547,203.85017827749596,95.12396381513885,25.338487715103575,24.10297388541853,46.42098037804389,222.7717812480063,5.02255569138666
4.4373,950,Air,ORC_R245fa,Cyclopentane,42.70947659478737,215.1780719339777,212.3796961709752,211.02373140777178,102.53822516366694,25.80250068646543,26.457426251744625,47.96086126006083,241.63549818572233,5.251384665273462
4.4373,1000,Air,ORC_R245fa,Cyclopentane,43.89742638722055,231.68899579877998,219.6447732198223,218.2393496580085,110.00554934102198,26.227308445165203,28.851494732468232,49.363833463712666,260.5404905312482,5.466407076492125
4.8853,600,Air,ORC_R245fa,R1233zd,29.173549310460768,102.57683053463194,167.553817146001,167.02155045312367,56.66755347447569,18.46250465110298,10.462249695891341,32.14908438802773,113.03908023052328,2.975535077566965
4.8853,650,Air,ORC_R245fa,R1233zd,31.918053192711753,120.00283504776979,174.35318464246092,173.80048567774486,63.60422589932853,18.644988685764936,11.859000722598175,35.072280471805776,131.86183577036797,3.154227279094024
4.8853,700,Air,ORC_R245fa,Cyclopentane,34.32457677778812,137.44450245167565,181.21980745333502,180.6470081807816,70.61685235545045,23.589797682255263,16.658372600227672,38.484740182727165,154.1028750519033,4.160163404939049
4.8853,750,Air,ORC_R245fa,Cyclopentane,36.4496860134993,154.89810851087975,188.14943536416706,187.5569510691119,77.70153965363122,24.147845231039277,18.763247537693477,40.86493993698058,173.66135604857323,4.415253923481282
